#Header
x y Displacement(m) Hydrogen_concentration(mol/m^2) Damage

Load step: 3000
0.0462687 0 -2e-05 2.10113e-05 0
0.0447761 0 -2e-05 2.11574e-05 0
0.0432836 0 -2e-05 2.13001e-05 0
0.041791 0 -2e-05 2.1437e-05 0
0.0402985 0 -2e-05 2.15883e-05 0
0.038806 0 -2e-05 2.17365e-05 0
0.0373134 0 -2e-05 2.18838e-05 0
0.0358209 0 -2e-05 2.20206e-05 0
0.0343284 0 -2e-05 2.2143e-05 0
0.0328358 0 -2e-05 2.22708e-05 0
0.0313433 0 -2e-05 2.23823e-05 0
0.0298507 0 -2e-05 2.24783e-05 0
0.0283582 0 -2e-05 2.25821e-05 0
0.0268657 0 -2e-05 2.27012e-05 0
0.0253731 0 -2e-05 2.28162e-05 0
0.0238806 0 -2e-05 2.29242e-05 0
0.0223881 0 -2e-05 2.30203e-05 0
0.0208955 0 -2e-05 2.31077e-05 0
0.019403 0 -2e-05 2.31874e-05 0
0.0179104 0 -2e-05 2.326e-05 0
0.0164179 0 -2e-05 2.33264e-05 0
0.0149254 0 -2e-05 2.33862e-05 0
0.0134328 0 -2e-05 2.34414e-05 0
0.0119403 0 -2e-05 2.34884e-05 0
0.0104478 0 -2e-05 2.3527e-05 0
0.00895522 0 -2e-05 2.35572e-05 0
0.00746269 0 -2e-05 2.35798e-05 0
0.00597015 0 -2e-05 2.36017e-05 0
0.00447761 0 -2e-05 2.36196e-05 0
0.00298507 0 -2e-05 2.36336e-05 0
0.00149254 0 -2e-05 2.36425e-05 0
0 0.0015 -2e-05 2.36516e-05 0
0 0.003 -1.91832e-05 2.36637e-05 0.0454545
0 0.0045 -1.91406e-05 2.36815e-05 0
0 0.006 -1.88815e-05 2.37068e-05 0
0 0.0075 -1.86385e-05 2.37368e-05 0
0 0.009 -1.84346e-05 2.37698e-05 0
0 0.0105 -1.81675e-05 2.38077e-05 0
0 0.012 -1.78814e-05 2.38539e-05 0
0 0.0135 -1.75428e-05 2.39113e-05 0
0 0.015 -1.71267e-05 2.39721e-05 0
0 0.0165 -1.67113e-05 2.40445e-05 0
0 0.018 -1.63087e-05 2.41107e-05 0
0 0.0195 -1.59355e-05 2.4188e-05 0
0 0.021 -1.56304e-05 2.42647e-05 0
0 0.0225 -1.53113e-05 2.43408e-05 0
0 0.024 -1.49556e-05 2.44344e-05 0
0 0.0255 -1.46644e-05 2.453e-05 0
0 0.027 -1.43878e-05 2.46189e-05 0
0 0.0285 -1.41846e-05 2.47096e-05 0
0 0.03 -1.4017e-05 2.48202e-05 0
0 0.0315 -1.38684e-05 2.49452e-05 0
0 0.033 -1.37927e-05 2.5076e-05 0
0 0.0345 -1.37483e-05 2.51893e-05 0
0 0.036 -1.37109e-05 2.52982e-05 0
0 0.0375 -1.36899e-05 2.54144e-05 0
0 0.039 -1.37109e-05 2.5537e-05 0
0 0.0405 -1.37856e-05 2.56708e-05 0
0 0.042 -1.39283e-05 2.58101e-05 0
0 0.0435 -1.40332e-05 2.59296e-05 0
0 0.045 -1.41873e-05 2.60308e-05 0
0.00147059 0.0466029 -1.4289e-05 2.61417e-05 0
0.00294118 0.0467059 -1.43852e-05 2.65e-05 0
0.00441176 0.0468088 -1.44829e-05 2.65e-05 0
0.00588235 0.0469118 -1.45515e-05 2.65e-05 0
0.00735294 0.0470147 -1.45404e-05 2.65e-05 0
0.00882353 0.0471176 -1.4475e-05 2.65e-05 0
0.0102941 0.0472206 -1.44756e-05 2.65e-05 0
0.0117647 0.0473235 -1.46284e-05 2.65e-05 0
0.0132353 0.0474265 -1.489e-05 2.65e-05 0
0.0147059 0.0475294 -1.51564e-05 2.65e-05 0.0434783
0.0161765 0.0476324 -1.54201e-05 2.65e-05 0.0833333
0.0176471 0.0477353 -1.57132e-05 2.65e-05 0.12
0.0191176 0.0478382 -1.60598e-05 2.65e-05 0.12
0.0205882 0.0479412 -1.63643e-05 2.65e-05 0.153846
0.0220588 0.0480441 -1.66765e-05 2.65e-05 0.153846
0.0235294 0.0481471 -1.70444e-05 2.65e-05 0.185185
0.025 0.04825 -1.72586e-05 2.65e-05 0.241379
0.0264706 0.0483529 -1.77103e-05 2.65e-05 0.241379
0.0279412 0.0484559 -1.82211e-05 2.65e-05 0.290323
0.0294118 0.0485588 -1.85636e-05 2.65e-05 0.290323
0.0308824 0.0486618 -1.86397e-05 2.65e-05 0.3125
0.0323529 0.0487647 -1.86956e-05 2.65e-05 0.371429
0.0338235 0.0488676 -1.99371e-05 2.65e-05 0.388889
0.0352941 0.0489706 -2.11129e-05 2.65e-05 0.388889
0.0367647 0.0490735 -2.09126e-05 2.65e-05 0.421053
0.0382353 0.0491765 -2.05801e-05 2.65e-05 0.473684
0.0397059 0.0492794 -2.19303e-05 2.65e-05 0.461538
0.0411765 0.0493824 -2.27429e-05 2.65e-05 0.512821
0.0426471 0.0494853 -2.43093e-05 2.65e-05 0.575
0.0441176 0.0495882 -2.45879e-05 2.65e-05 0.547619
0.0455882 0.0496912 -2.46191e-05 2.65e-05 0.642857
0.0470588 0.0497941 -2.61021e-05 2.65e-05 0.690476
0.0485294 0.0498971 -2.94758e-05 2.65e-05 0.714286
0.0485294 0.0501029 -2.85838e-05 2.65e-05 0.659091
0.0470588 0.0502059 -3.23601e-05 2.65e-05 0.533333
0.0455882 0.0503088 -3.3213e-05 2.65e-05 0.577778
0.0441176 0.0504118 -3.22533e-05 2.65e-05 0.568182
0.0426471 0.0505147 -3.38472e-05 2.65e-05 0.512195
0.0411765 0.0506176 -3.50359e-05 2.65e-05 0.475
0.0397059 0.0507206 -3.41014e-05 2.65e-05 0.461538
0.0382353 0.0508235 -3.52335e-05 2.65e-05 0.461538
0.0367647 0.0509265 -3.55416e-05 2.65e-05 0.414634
0.0352941 0.0510294 -3.59826e-05 2.65e-05 0.342105
0.0338235 0.0511324 -3.64259e-05 2.65e-05 0.315789
0.0323529 0.0512353 -3.67102e-05 2.65e-05 0.285714
0.0308824 0.0513382 -3.7227e-05 2.65e-05 0.264706
0.0294118 0.0514412 -3.74748e-05 2.65e-05 0.264706
0.0279412 0.0515441 -3.75944e-05 2.65e-05 0.264706
0.0264706 0.0516471 -3.81444e-05 2.65e-05 0.258065
0.025 0.05175 -3.88521e-05 2.65e-05 0.225806
0.0235294 0.0518529 -3.87631e-05 2.65e-05 0.206897
0.0220588 0.0519559 -3.90948e-05 2.65e-05 0.153846
0.0205882 0.0520588 -3.94303e-05 2.65e-05 0.148148
0.0191176 0.0521618 -3.97632e-05 2.65e-05 0.107143
0.0176471 0.0522647 -4.00227e-05 2.65e-05 0.103448
0.0161765 0.0523676 -4.03219e-05 2.65e-05 0.0740741
0.0147059 0.0524706 -4.05773e-05 2.65e-05 0.04
0.0132353 0.0525735 -4.07088e-05 2.65e-05 0
0.0117647 0.0526765 -4.09119e-05 2.65e-05 0
0.0102941 0.0527794 -4.116e-05 2.65e-05 0
0.00882353 0.0528824 -4.13705e-05 2.65e-05 0
0.00735294 0.0529853 -4.15476e-05 2.65e-05 0
0.00588235 0.0530882 -4.18254e-05 2.65e-05 0
0.00441176 0.0531912 -4.20241e-05 2.65e-05 0.0416667
0.00294118 0.0532941 -4.21013e-05 2.65e-05 0.047619
0.00147059 0.0533971 -4.21576e-05 2.65e-05 0.0526316
0 0.055 -4.20959e-05 2.65e-05 0.0588235
0 0.0565 -4.21673e-05 2.62465e-05 0
0 0.058 -4.223e-05 2.61157e-05 0
0 0.0595 -4.22863e-05 2.59901e-05 0
0 0.061 -4.23322e-05 2.58771e-05 0
0 0.0625 -4.23637e-05 2.57763e-05 0
