#Header
x y Displacement(m) Hydrogen_concentration(mol/m^2) Damage

Load step: 3000
0.156716 0 -2e-05 2.53232e-05 0
0.155224 0 -2e-05 2.53387e-05 0
0.153731 0 -2e-05 2.53543e-05 0
0.152239 0 -2e-05 2.53708e-05 0
0.150746 0 -2e-05 2.53882e-05 0
0.149254 0 -2e-05 2.54057e-05 0
0.147761 0 -2e-05 2.54233e-05 0
0.146269 0 -2e-05 2.54409e-05 0
0.144776 0 -2e-05 2.54571e-05 0
0.143284 0 -2e-05 2.54732e-05 0
0.141791 0 -2e-05 2.54886e-05 0
0.140299 0 -2e-05 2.55052e-05 0
0.138806 0 -2e-05 2.55233e-05 0
0.137313 0 -2e-05 2.55431e-05 0
0.135821 0 -2e-05 2.55633e-05 0
0.134328 0 -2e-05 2.55829e-05 0
0.132836 0 -2e-05 2.56022e-05 0
0.131343 0 -2e-05 2.56211e-05 0
0.129851 0 -2e-05 2.56397e-05 0
0.128358 0 -2e-05 2.5658e-05 0
0.126866 0 -2e-05 2.56761e-05 0
0.125373 0 -2e-05 2.56938e-05 0
0.123881 0 -2e-05 2.57111e-05 0
0.122388 0 -2e-05 2.57273e-05 0
0.120896 0 -2e-05 2.57425e-05 0
0.119403 0 -2e-05 2.57572e-05 0
0.11791 0 -2e-05 2.57719e-05 0
0.116418 0 -2e-05 2.57869e-05 0
0.114925 0 -2e-05 2.58031e-05 0
0.113433 0 -2e-05 2.58197e-05 0
0.11194 0 -2e-05 2.58356e-05 0
0.110448 0 -2e-05 2.58504e-05 0
0.108955 0 -2e-05 2.58636e-05 0
0.107463 0 -2e-05 2.58768e-05 0
0.10597 0 -2e-05 2.58908e-05 0
0.104478 0 -2e-05 2.5905e-05 0
0.102985 0 -2e-05 2.59207e-05 0
0.101493 0 -2e-05 2.59369e-05 0
0.1 0 -2e-05 2.5952e-05 0
0.0985075 0 -2e-05 2.59667e-05 0
0.0970149 0 -2e-05 2.59808e-05 0
0.0955224 0 -2e-05 2.59945e-05 0
0.0940299 0 -2e-05 2.60077e-05 0
0.0925373 0 -2e-05 2.60206e-05 0
0.0910448 0 -2e-05 2.60331e-05 0
0.0895522 0 -2e-05 2.60453e-05 0
0.0880597 0 -2e-05 2.60573e-05 0
0.0865672 0 -2e-05 2.60683e-05 0
0.0850746 0 -2e-05 2.60783e-05 0
0.0835821 0 -2e-05 2.60877e-05 0
0.0820896 0 -2e-05 2.6097e-05 0
0.080597 0 -2e-05 2.6106e-05 0
0.0791045 0 -2e-05 2.61159e-05 0
0.0776119 0 -2e-05 2.61259e-05 0
0.0761194 0 -2e-05 2.61358e-05 0
0.0746269 0 -2e-05 2.61446e-05 0
0.0731343 0 -2e-05 2.61535e-05 0
0.0716418 0 -2e-05 2.61619e-05 0
0.0701493 0 -2e-05 2.61701e-05 0
0.0686567 0 -2e-05 2.61782e-05 0
0.0671642 0 -2e-05 2.61865e-05 0
0.0656716 0 -2e-05 2.61939e-05 0
0.0641791 0 -2e-05 2.62004e-05 0
0.0626866 0 -2e-05 2.62077e-05 0
0.061194 0 -2e-05 2.62151e-05 0
0.0597015 0 -2e-05 2.62229e-05 0
0.058209 0 -2e-05 2.62305e-05 0
0.0567164 0 -2e-05 2.62376e-05 0
0.0552239 0 -2e-05 2.62444e-05 0
0.0537313 0 -2e-05 2.62508e-05 0
0.0522388 0 -2e-05 2.62571e-05 0
