#Header
x(m) y(m) Displacement(m) Hydrogen_concentration(mol/m^2) Damage

Load step: 3000
0.00141844 0.03 0 2.61869e-05 0
0.00141844 0.0285714 0 2.61858e-05 0
0.00141844 0.0271429 0 2.61846e-05 0
0.00141844 0.0257143 0 2.61831e-05 0
0.00141844 0.0242857 0 2.61813e-05 0
0.00141844 0.0228571 0 2.61792e-05 0
0.00141844 0.0214286 0 2.61766e-05 0
0.00141844 0.02 0 2.61734e-05 0
0.00141844 0.0185714 0 2.61694e-05 0
0.00141844 0.0171429 0 2.61642e-05 0
0.00141844 0.0157143 0 2.61575e-05 0
0.00141844 0.0142857 0 2.61485e-05 0
0.00141844 0.0128571 0 2.61358e-05 0
0.00141844 0.0114286 0 2.61172e-05 0
0.00141844 0.01 0 2.60848e-05 0
0.00141844 0.00857143 0 2.60342e-05 0
0.00141844 0.00714286 0 2.59539e-05 0
0.00141844 0.00571429 0 2.5836e-05 0
0.00141844 0.00428571 0 2.57356e-05 0
0.00141844 0.00285714 0 2.56648e-05 0
0.00141844 0.00142857 0 2.56176e-05 0
0.00283688 0.0985714 0 2.58335e-05 0
0.00283688 0.0971429 0 2.58692e-05 0
0.00283688 0.0957143 0 2.59117e-05 0
0.00283688 0.0942857 0 2.59515e-05 0
0.00283688 0.0928571 0 2.59817e-05 0
0.00283688 0.0914286 0 2.60007e-05 0
0.00283688 0.09 0 2.60139e-05 0
0.00283688 0.0885714 0 2.60233e-05 0
0.00283688 0.0871429 0 2.603e-05 0
0.00283688 0.0857143 0 2.6035e-05 0
0.00283688 0.0842857 0 2.60387e-05 0
0.00283688 0.0828571 0 2.60416e-05 0
0.00283688 0.0814286 0 2.60439e-05 0
0.00283688 0.08 0 2.60458e-05 0
0.00283688 0.0785714 0 2.60473e-05 0
0.00283688 0.0771429 0 2.60485e-05 0
0.00283688 0.0757143 0 2.60495e-05 0
0.00283688 0.0742857 0 2.60503e-05 0
0.00283688 0.0728571 0 2.6051e-05 0
0.00283688 0.0714286 0 2.60516e-05 0
0.00283688 0.07 0 2.6052e-05 0
0.00283688 0.0685714 0 2.60524e-05 0
0.00283688 0.0671429 0 2.60528e-05 0
0.00283688 0.0657143 0 2.6053e-05 0
0.00283688 0.0642857 0 2.60533e-05 0
0.00283688 0.0628571 0 2.60534e-05 0
0.00283688 0.0614286 0 2.60535e-05 0
0.00283688 0.06 0 2.60536e-05 0
0.00283688 0.0585714 0 2.60536e-05 0
0.00283688 0.0571429 0 2.60537e-05 0
0.00283688 0.0557143 0 2.60536e-05 0
0.00283688 0.0542857 0 2.60536e-05 0
