#Header
x y Displacement(m) Hydrogen_concentration(mol/m^2) Damage

Load step: 3000
0.0666667 0 -2e-05 0 0
0.0652482 0 -2e-05 0 0
0.0638298 0 -2e-05 0 0
0.0624113 0 -2e-05 0 0
0.0609929 0 -2e-05 0 0
0.0595745 0 -2e-05 0 0
0.058156 0 -2e-05 0 0
0.0567376 0 -2e-05 0 0
0.0553191 0 -2e-05 0 0
0.0539007 0 -2e-05 0 0
0.0524823 0 -2e-05 0 0
0.0510638 0 -2e-05 0 0
0.0496454 0 -2e-05 0 0
0.048227 0 -2e-05 0 0
0.0468085 0 -2e-05 0 0
0.0453901 0 -2e-05 0 0
0.0439716 0 -2e-05 0 0
0.0425532 0 -2e-05 0 0
0.0411348 0 -2e-05 0 0
0.0397163 0 -2e-05 0 0
0.0382979 0 -2e-05 0 0
0.0368794 0 -2e-05 0 0
0.035461 0 -2e-05 0 0
0.0340426 0 -2e-05 0 0
0.0326241 0 -2e-05 0 0
0.0312057 0 -2e-05 0 0
0.0297872 0 -2e-05 0 0
0.0283688 0 -2e-05 0 0
0.0269504 0 -2e-05 0 0
0.0255319 0 -2e-05 0 0
0.0241135 0 -2e-05 0 0
0.022695 0 -2e-05 0 0
0.0212766 0 -2e-05 0 0
0.0198582 0 -2e-05 0 0
0.0184397 0 -2e-05 0 0
0.0170213 0 -2e-05 0 0
0.0156028 0 -2e-05 0 0
0.0141844 0 -2e-05 0 0
0.012766 0 -2e-05 0 0
0.0113475 0 -2e-05 0 0
0.00992908 0 -2e-05 0 0
0.00851064 0 -2e-05 0 0
0.0070922 0 -2e-05 0 0
0.00567376 0 -2e-05 0 0
0.00425532 0 -2e-05 0 0
0.00283688 0 -2e-05 0 0
0.00141844 0 -1.68429e-05 0 0
0 0.00142857 -1.62253e-05 0 0
0 0.00285714 -1.60861e-05 0 0
0 0.00428571 -1.58156e-05 0 0
0 0.00571429 -1.55092e-05 0 0
0 0.00714286 -1.51468e-05 0 0
0 0.00857143 -1.47459e-05 0 0
0 0.01 -1.43263e-05 0 0
0 0.0114286 -1.389e-05 0 0
0 0.0128571 -1.34423e-05 0 0
0 0.0142857 -1.29852e-05 0 0
0 0.0157143 -1.25204e-05 0 0
0 0.0171429 -1.20466e-05 0 0
0 0.0185714 -1.15647e-05 0 0
0 0.02 -1.10802e-05 0 0
0 0.0214286 -1.05951e-05 0 0
0 0.0228571 -1.01098e-05 0 0
0 0.0242857 -9.62367e-06 0 0
0 0.0257143 -9.13774e-06 0 0
0 0.0271429 -8.65293e-06 0 0
0 0.0285714 -8.16703e-06 0 0
0 0.03 -7.67681e-06 0 0
0 0.0314286 -7.18059e-06 0 0
0 0.0328571 -6.67901e-06 0 0
0 0.0342857 -6.17243e-06 0 0
0 0.0357143 -5.65926e-06 0 0
0 0.0371429 -5.13797e-06 0 0
0 0.0385714 -4.6099e-06 0 0
0 0.04 -4.07899e-06 0 0
0 0.0414286 -3.54853e-06 0 0
0 0.0428571 -3.01843e-06 0 0
0 0.0442857 -2.48582e-06 0 0
0 0.0457143 -1.9479e-06 0 0
0 0.0471429 -1.40399e-06 0 0
0 0.0485714 -8.55274e-07 0 0
0 0.05 -3.03282e-07 0 0
0 0.0514286 2.50635e-07 0 0
0 0.0528571 8.04412e-07 0 0
0 0.0542857 1.35442e-06 0 0
0 0.0557143 1.89646e-06 0 0
0 0.0571429 2.42831e-06 0 0
0 0.0585714 2.95123e-06 0 0
0 0.06 3.46857e-06 0 0
0 0.0614286 3.98286e-06 0 0
0 0.0628571 4.49434e-06 0 0
0 0.0642857 5.00179e-06 0 0
